Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2023-11-14 05:00:00,670.03125,0,0,0,0,10,0,100000.0,100000.0,1,1,10,93299.6875,100000.0
2023-11-15 05:00:00,672.6006469726562,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100025.69396972656
2023-11-16 05:00:00,675.4478149414062,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100054.16564941406
2023-11-17 05:00:00,680.626220703125,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100105.94970703125
2023-11-20 05:00:00,688.78076171875,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100187.4951171875
2023-11-21 05:00:00,678.9695434570312,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100089.38293457031
2023-11-22 05:00:00,679.3464965820312,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100093.15246582031
2023-11-24 05:00:00,685.6756591796875,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100156.44409179688
2023-11-27 05:00:00,682.89794921875,0,0,0,0,10,0,100000.0,100000.0,1,0,10,93299.6875,100128.6669921875
2023-11-28 05:00:00,670.6066284179688,2,1,1,1,10,10,93293.93371582031,100000.0,1,0,10,93299.6875,100005.75378417969
2023-11-29 05:00:00,682.1340942382812,0,0,1,0,10,10,93293.93371582031,100115.27465820312,1,0,10,93299.6875,100121.02844238281
2023-11-30 05:00:00,678.3148193359375,2,1,1,0,10,10,93293.93371582031,100077.08190917969,1,0,10,93299.6875,100082.83569335938
2023-12-01 05:00:00,686.6876220703125,0,0,1,0,10,10,93293.93371582031,100160.80993652344,1,0,10,93299.6875,100166.56372070312
2023-12-04 05:00:00,684.8225708007812,0,0,1,0,10,10,93293.93371582031,100142.15942382812,1,0,10,93299.6875,100147.91320800781
2023-12-05 05:00:00,688.9990234375,0,0,1,0,10,10,93293.93371582031,100183.92395019531,1,0,10,93299.6875,100189.677734375
2023-12-06 05:00:00,686.568603515625,0,0,1,0,10,10,93293.93371582031,100159.61975097656,1,0,10,93299.6875,100165.37353515625
2023-12-07 05:00:00,694.0782470703125,0,0,1,0,10,10,93293.93371582031,100234.71618652344,1,0,10,93299.6875,100240.46997070312
